Quantity,Package,Description,Designator,Comment,Manufacturer,Manf. Part Number,Supplier,Supplier Link,Supplier Part Number

"1","U.FL SMD connector","Antenna connector","ANT101","Antenna connector","Taoglas","RECE-20279-001E-01","Mouser","http://www.mouser.com/ProductDetail/Taoglas/RECE-20279-001E-01/?qs=%2fha2pyFadujqhFX9QSGQ0Jq8TQbSmm0TSdw7FzJZzJAdZFUpRzf0EieCCALjSPrt","960-RECE20279001E01"
"1","0603","CAP CERA 22uF X5R 6.3V 0603","C101","22uF","AVX","06036D226MAT2A","Mouser","http://www.mouser.com/ProductDetail/AVX/06036D226MAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQKJCfzG%2fi9wH35CSYO9QB3%2fIceXkFkdrNw%3d%3d","581-06036D226MAT2A"
"2","0603","CAP CERA 470nF X5R 16V 10% 0402","C102, C103","470nF","Taiyo Yuden","UMK107ABJ474KA-T","Mouser","http://www.mouser.com/ProductDetail/Taiyo-Yuden/UMK107ABJ474KA-T/?qs=sGAEpiMZZMs0AnBnWHyRQEHUpoJWdPZB6KfEGN7MI80%3d","963-UMK107ABJ474KA-T"
"8","0603","CAP CERA 100nF X7R 16V 10% 0402","C104, C105, C106, C108, C109, C110, C111, C113","100nF","Kemet","C0402C104K4RAC","Mouser","http://www.mouser.com/ProductDetail/KEMET/C0402C104K4RAC/?qs=sGAEpiMZZMs0AnBnWHyRQFv7x1xn%252bYFduMzvnPR0L28%3d","80-C0402C104K4RAC"
"2","0603","CAP CERA 4.7uF X5R 6.3V 20% 0402","C107, C112","4.7uF","AVX","06036D475MAT4A","Mouser","http://www.mouser.com/ProductDetail/AVX/06036D475MAT4A/?qs=sGAEpiMZZMs0AnBnWHyRQPSZir2U04Awc9%2fDG0hqmgc%3d","581-06036D475MAT4A"
"2","0603","CAP CERA 5pF C0G 50V 5% 0402","C114, C115","5pF","Murata","GRM1555C1H5R0CA01D","Mouser","http://www.mouser.com/ProductDetail/Murata/GRM1555C1H5R0CA01D/?qs=%2fha2pyFaduiGTOITjt%2fF7w8kJ2ycxB0GeweqtdAyD6hHauaGy4SrPSD1iqnm1ZsC","81-GRM1555C1H5R0CA1D"
"2","0603","CAP CERA 18pF C0G 16V 5% 0402","C116, C117","18pF","Murata","GRM1885C1H180JA01D","Mouser","http://www.mouser.com/ProductDetail/Murata-Electronics/GRM1885C1H180JA01D/?qs=sGAEpiMZZMs0AnBnWHyRQEzybnecWqjRUTJtHldbfgg%3d","81-GRM39C180J50"
"2","0603","CAP CERA 15pF C0G 50V 5% 0603","C118, C119","15pF","Vishay","VJ0603A150JXACW1BC","Mouser","http://www.mouser.com/ProductDetail/Vishay/VJ0603A150JXACW1BC/?qs=%2fha2pyFadujyp16hEvN9k1tTARPA1dk3NW8q4AVb1Cq2DteBzrHlmA%3d%3d","77-VJ0603A150JXACBC"
"5","0603","CAP CERA 10nF 16V 10% 0603","C120, C122, C124, C126, C128","10nF","Wurth Electronics","885012206040","Mouser","http://www.mouser.com/ProductDetail/Wurth-Electronics/885012206040/?qs=%2fha2pyFaduhWLwq%252bImdxjNLfXvBlNiamf3gc1l1OXmS75nuOaleIcQ%3d%3d","710-885012206040"
